step,scout_x,scout_y,scout_z,scout_fire_intensity,scout_fire_rel_x,scout_fire_rel_y,scout_dist_to_fire,scout_reward_total,scout_reward_survival,scout_reward_boundary,scout_reward_altitude,scout_reward_fire_flat,scout_reward_fire_intensity,scout_reward_fire_speed_pen,scout_speed,scout_msg_intensity,fw_x,fw_y,fw_z,fw_dist_to_fire,fw_water_level,fw_reward_total,fw_is_dropping,fw_extinguish_eff,fire_burning_cells,fire_total_intensity,fire_centroid_x,fire_centroid_y,scout_fw_distance
0,-382.1753515503719,-192.45354100488427,36.18579209122489,0.00937500037252903,0.25806451612903225,-0.41935483870967744,36.35748500267327,0.7092531385167308,0.01,0.0,0.0,0.5,0.0937500037252903,-0.0,4.684413152061559,0.00937500037252903,133.24773926850722,150.04827716050906,99.95904941974821,631.128732797101,1.0,-0.025866900990978367,0,0.0,27,8.09892,-372.5,-227.5,622.1217616722442
1,-382.7401665828526,-191.80633014856716,35.79267360097671,0.022267520427703857,0.38397502601456823,-0.5719736385709331,37.133530388419274,0.6898911809406941,0.01,0.0,0.0,0.5,0.22267520427703857,-0.023422065760307795,4.8745489223348,0.022267520427703857,138.18166725624462,148.4871806879863,99.843403292169,634.1625385603585,0.9958333333333336,-3.020609615936509,0,0.0,27,8.09676,-372.5,-227.5,625.509173763047
2,-383.1776958781406,-191.55139626935517,35.78384553387278,0.020426396280527115,0.380952380952381,-0.6075268817204302,38.31042463410998,0.6821598991882049,0.01,0.0,0.0,0.5,0.20426396280527115,-0.024372744611674,3.043021974340239,0.020426396280527115,143.21933430968232,146.7971462758599,99.6467274065963,637.2191913464649,0.9916666666666671,-3.120974804437359,0,0.0,29,8.69452,-371.98275862068965,-228.18965517241384,629.008773638429
3,-383.2237814232374,-191.73061853328167,36.07245555065925,0.01873750053346157,0.41935483870967744,-0.6129032258064516,38.152613885564655,0.6825181894893964,0.01,0.0,0.0,0.5,0.1873750053346157,-0.015215109871701197,2.9663571239408104,0.01873750053346157,148.3097988811172,144.9931928207674,99.42129232120476,640.2888281299876,0.9875000000000007,-3.0210396652804183,0,0.0,29,8.693360000000002,-371.98275862068965,-228.18965517241384,632.3954041927757
4,-382.9453564231262,-192.27572577499038,36.512539173345026,0.018734999001026154,0.41935483870967744,-0.6129032258064516,37.54981857933676,0.6731149674603407,0.01,0.0,0.0,0.5,0.18734999001026154,-0.014831785619704052,4.83699987035862,0.018734999001026154,153.40883527697127,143.07747092847302,99.21057725371436,643.3316453133147,0.9833333333333343,-3.020774793963799,0,0.0,29,8.691040000000003,-371.98275862068965,-228.18965517241384,635.6639280882818
5,-382.36641255513865,-192.45093468807866,37.03109814517512,0.018729999661445618,0.41935483870967744,-0.6129032258064516,37.30390527446649,0.6436962935567677,0.01,0.0,0.0,0.5,0.18729999661445618,-0.024184999351793104,5.220465714915988,0.018729999661445618,158.4754432203432,141.04594705836442,99.04216397791664,646.5462872587128,0.9791666666666679,-3.0701645576455174,0,0.0,30,8.988640000000004,-372.16666666666674,-228.33333333333326,638.4163652186407
6,-381.98988739872937,-192.34495513958387,37.58669261024826,0.015979865565896034,0.3225806451612903,-0.4588969823100937,37.30494646246207,0.6503478633254183,0.01,0.0,0.0,0.5,0.15979865565896034,-0.02610232857457994,3.885895989548915,0.015979865565896034,163.47131706421877,138.89321104089532,98.92858845312091,649.4331255089515,0.9750000000000014,-3.0192182500066984,0,0.0,30,8.987440000000005,-372.16666666666674,-228.33333333333326,641.100207841469
7,-381.9169128820454,-192.57347430813348,37.97596862062168,0.015977732837200165,0.3225806451612903,-0.4588969823100937,37.065277805011355,0.6527522914489466,0.01,0.0,0.0,0.5,0.15977732837200165,-0.019429479947744573,3.3964749797114067,0.015977732837200165,168.36283559769572,136.61628568640782,98.88592709007294,652.1965710127688,0.970833333333335,-3.017983857285078,0,0.0,30,8.985040000000005,-372.16666666666674,-228.33333333333326,644.1146813362828
8,-382.0511757999881,-192.98512106458807,38.47023162083484,0.015973465517163277,0.3225806451612903,-0.4588969823100937,36.70421816907398,0.6496685838125927,0.01,0.0,0.0,0.5,0.15973465517163277,-0.016982374898557032,4.0046811218503455,0.015973465517163277,173.1234033915227,134.21826998928086,98.92919865060782,654.8167114360043,0.9666666666666686,-3.0165492422798468,0,0.0,30,8.982640000000007,-372.16666666666674,-228.33333333333326,647.2527784350788
9,-382.2246659738558,-193.4963868693045,39.01668650172543,0.01596919819712639,0.3225806451612903,-0.4588969823100937,36.25984264997604,0.6444440092719979,0.01,0.0,0.0,0.5,0.15969198197126389,-0.020023405609251727,5.045328337403418,0.01596919819712639,177.73557519940184,131.70911197979265,99.06491706202942,657.2845944006169,0.9625000000000021,-3.01502401695558,0,0.0,30,8.981440000000006,-372.16666666666674,-228.33333333333326,650.3229030027517
